id,naslov,tip,epizode,leto,ogledi,ocena
#area26123,Seitokai Yakuindomo* OVA,Movie,(1 eps),2004,10'549,7.96
#area15809,Hataraku Maou-sama!,TV,(13 eps),2013,676'362,7.96
#area7062,Hidamari Sketch x ☆☆☆,TV,(12 eps),2010,19'069,7.96
#area187,Initial D Third Stage,Movie,(1 eps),2001,67'693,7.96
#area1695,Les Misérables: Shoujo Cosette,TV,(52 eps),2007,14'060,7.96
#area8310,Magic Kaito,Movie,(1 eps),2017,22'014,7.96
#area6377,Zan Sayonara Zetsubou Sensei,TV,(13 eps),2009,69'272,7.96
#area779,Detective Conan Movie 01: The Timed Skyscraper,Movie,(1 eps),1997,39'355,7.95
#area1366,Detective Conan Movie 07: Crossroad in the Ancient Capital,Movie,(1 eps),2003,29'621,7.95
#area37150,Douluo Dalu,Movie,(1 eps),2017,22'496,7.95
#area14175,Hanasaku Iroha: Home Sweet Home,Movie,(1 eps),2013,51'135,7.95
#area11239,Hidamari Sketch x Honeycomb,TV,(12 eps),2012,15'616,7.95
#area24471,Hoozuki no Reitetsu OVA,Movie,(1 eps),2013,196'225,7.95
#area27947,Lupin III (2015),TV,(24 eps),2015,31'790,7.95
#area25517,Magic Kaito 1412,TV,(24 eps),2014,65'028,7.95
#area1729,Maria-sama ga Miteru 3rd,TV,(114 eps),1986,101'723,7.95
#area400,Seihou Bukyou Outlaw Star,TV,(24 eps),1998,99'775,7.95
#area17949,The Everlasting Guilty Crown,TV,(13 eps),2011,164'742,7.95
#area33354,Cardcaptor Sakura: Clear Card-hen,TV,(22 eps),2018,65'112,7.94
#area13119,Hakuouki Movie 2: Shikon Soukyuu,Movie,(1 eps),2014,13'700,7.94
#area5630,Higashi no Eden,TV,(11 eps),2009,361'552,7.94
#area967,Hokuto no Ken,TV,(109 eps),1984,66'264,7.94
#area3782,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),Movie,(1 eps),2007,148'203,7.94
#area11887,Kokoro Connect,TV,(13 eps),2012,424'900,7.94
#area34745,Mahoujin Guruguru (2017),TV,(24 eps),2017,21'078,7.94
#area17909,Uchouten Kazoku,TV,(13 eps),2013,107'826,7.94
#area23225,Yuru Yuri Nachuyachumi!,TV,(25 eps),2014,88'860,7.93
#area9465,Break Blade 4: Sanka no Chi,Movie,(1 eps),2010,47'880,7.93
#area1505,Detective Conan Movie 09: Strategy Above the Depths,Movie,(1 eps),2005,27'937,7.93
#area2890,Gake no Ue no Ponyo,Movie,(1 eps),2008,213'886,7.93
#area29787,Gochuumon wa Usagi desu ka??,TV,(12 eps),2015,66'740,7.93
#area267,Gungrave,TV,(26 eps),2003,123'501,7.93
#area253,Jungle wa Itsumo Hare nochi Guu,TV,(26 eps),2001,25'708,7.93
