id,naslov,tip,epizode,leto,ogledi,ocena
#area1567,Kaitou Saint Tail,TV,(43 eps),1995,11'556,7.64
#area428,Kaleido Star: Aratanaru Tsubasa - Extra Stage,TV,(26 eps),1998,128'275,7.64
#area5290,Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,Movie,(1 eps),2008,3'196,7.64
#area15439,"Kono Danshi, Ningyo Hiroimashita.",TV,(26 eps),2004,17'255,7.64
#area10500,Ojiisan no Lamp,Movie,(1 eps),2011,14'795,7.64
#area33338,One Piece: Heart of Gold,TV,(12 eps),2015,283'754,7.64
#area355,Shakugan no Shana,TV,(24 eps),2005,377'594,7.64
#area11371,Shin Tennis no Ouji-sama,TV,(13 eps),2012,38'647,7.64
#area885,Tenshi no Tamago,Movie,(1 eps),2014,16'602,7.64
#area11743,Toaru Majutsu no Index Movie: Endymion no Kiseki,Movie,(1 eps),2013,74'939,7.64
#area1985,UFO Robo Grendizer,TV,(74 eps),1975,6'144,7.64
#area38435,Yao Shen Ji 3rd Season,TV,(13 eps),2013,26'781,7.64
#area35789,Yowamushi Pedal: Glory Line,TV,(25 eps),2018,23'613,7.64
#area4416,Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering,TV,(12 eps),2005,2'309,7.64
#area16005,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,TV,(12 eps),2013,88'563,7.64
#area857,Air Gear,TV,(25 eps),2006,244'276,7.63
#area11433,Ano Natsu de Matteru,TV,(12 eps),2012,230'131,7.63
#area32189,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,TV,(12 eps),2016,155'246,7.63
#area35849,Darling in the FranXX,TV,(24 eps),2018,393'574,7.63
#area5348,Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,Movie,(1 eps),2012,188'021,7.63
#area455,Fantastic Children,TV,(26 eps),2004,22'275,7.63
#area1395,Future GPX Cyber Formula Sin,TV,(12 eps),2018,192'584,7.63
#area26023,Haiyore! Nyaruko-san F,Movie,(1 eps),2013,77'101,7.63
#area10568,Kamisama no Memochou,TV,(12 eps),2011,168'251,7.63
#area31418,KanColle Movie,Movie,(1 eps),2016,24'303,7.63
#area5204,Kara no Kyoukai 6: Boukyaku Rokuon,Movie,(1 eps),2008,120'568,7.63
#area37965,Kaze ga Tsuyoku Fuiteiru,TV,(23 eps),2018,35'371,7.63
#area250,Konjiki no Gash Bell!!,TV,(150 eps),2003,72'349,7.63
#area194,Macross Zero,TV,(13 eps),2009,52'541,7.63
#area7877,"Momoko, Kaeru no Uta ga Kikoeru yo.",Movie,(1 eps),2003,1'904,7.63
#area21667,Non Non Biyori: Okinawa e Ikukoto ni Natta,Movie,(1 eps),1987,25'913,7.63
#area2549,Perrine Monogatari,TV,(53 eps),1978,2'708,7.63
#area5493,Ranma ½: Akumu! Shunmin Kou,Movie,(1 eps),1997,38'229,7.63
#area1861,Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi,Movie,(1 eps),1994,9'749,7.63
#area177,Tsubasa Chronicle,TV,(26 eps),2005,164'434,7.63
#area304,Aa! Megami-sama! Movie,Movie,(1 eps),2000,33'492,7.62
#area22147,Amagi Brilliant Park,TV,(13 eps),2014,335'757,7.62
#area1488,Area 88,Movie,(1 eps),1995,28'810,7.62
#area4835,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,Movie,(1 eps),2008,149'443,7.62
#area4182,Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,Movie,(1 eps),2012,115'390,7.62
#area36094,Hakumei to Mikochi,TV,(12 eps),2018,31'733,7.62
#area2002,Heroic Age,TV,(26 eps),2007,80'538,7.62
#area36824,Huyao Xiao Hongniang: Nan Guo,Movie,(1 eps),2011,7'286,7.62
#area11013,Inu x Boku SS,TV,(12 eps),2012,298'044,7.62
#area449,InuYasha: Guren no Houraijima,Movie,(1 eps),2004,59'650,7.62
#area33082,Kingsglaive: Final Fantasy XV,Movie,(1 eps),2016,35'219,7.62
#area1579,Kiniro no Corda: Primo Passo,TV,(25 eps),2006,74'129,7.62
#area5494,Konnichiwa Anne: Before Green Gables,TV,(39 eps),2009,3'785,7.62
#area36990,Non Non Biyori Movie: Vacation,Movie,(1 eps),2018,16'056,7.62
#area26243,Owari no Seraph,TV,(12 eps),2015,537'193,7.62
#area708,Patapata Hikousen no Bouken,TV,(26 eps),2002,4'033,7.62
#area23135,PriPara,TV,(140 eps),2014,11'843,7.62
#area32485,Prison School: Mad Wax,TV,(22 eps),2007,24'323,7.62
#area37341,Yuru Camp△ Specials,TV,(8 eps),2016,87'534,7.61
#area32827,B: The Beginning,Movie,(1 eps),2016,47'323,7.61
#area2961,Digimon Adventure Movie,Movie,(1 eps),1999,76'569,7.61
#area587,Hanbun no Tsuki ga Noboru Sora,TV,(6 eps),2006,77'050,7.61
#area31997,Hetalia: The World Twinkle Extra Disc,TV,(12 eps),2017,47'588,7.61
#area35079,Kino no Tabi: The Beautiful World - The Animated Series,TV,(12 eps),2017,97'223,7.61
#area34984,Koi wa Ameagari no You ni,TV,(12 eps),2018,114'733,7.61
#area13655,Little Busters!,TV,(26 eps),2012,182'914,7.61
#area334,Marmalade Boy,TV,(76 eps),1994,31'605,7.61
#area34414,Nanbaka 2,TV,(22 eps),2008,25'955,7.61
#area11933,Oda Nobuna no Yabou,TV,(12 eps),2012,188'387,7.61
#area10588,Persona 4 the Animation,TV,(25 eps),2011,174'636,7.61
#area209,R.O.D the TV,TV,(26 eps),2003,54'634,7.61
#area15989,Saki Achiga-hen: Episode of Side-A Specials,TV,(50 eps),1982,2'491,7.61
#area13245,Shin Tennis no Ouji-sama Specials,TV,(98 eps),1985,6'714,7.61
#area4654,Toaru Majutsu no Index,TV,(24 eps),2008,439'950,7.61
#area1924,Urusei Yatsura Movie 5: Final,Movie,(1 eps),1988,3'887,7.61
#area10216,"Yondemasu yo, Azazel-san. (TV)",TV,(13 eps),2011,54'295,7.61
#area2198,Aa! Megami-sama!: Sorezore no Tsubasa Specials,TV,(12 eps),2012,186'127,7.6
#area18671,Chuunibyou demo Koi ga Shitai! Ren,TV,(12 eps),2014,323'118,7.6
#area2514,Detective Conan OVA 04: Conan and Kid and Crystal Mother,TV,(12 eps),2014,78'805,7.6
#area31376,Flying Witch,TV,(12 eps),2016,155'476,7.6
#area1251,Fushigi no Umi no Nadia,TV,(39 eps),1990,36'698,7.6
#area1393,Future GPX Cyber Formula Zero,Movie,(1 eps),2013,34'155,7.6
#area11663,Hakuouki OVA,TV,(12 eps),2012,38'576,7.6
#area270,Hellsing,TV,(13 eps),2001,414'379,7.6
#area32215,High School DxD BorN: Yomigaeranai Fushichou,Movie,(1 eps),2007,6'305,7.6
#area2848,Kappa no Coo to Natsuyasumi,Movie,(1 eps),2007,9'440,7.6
#area15051,Love Live! School Idol Project,TV,(13 eps),2013,249'775,7.6
#area21105,Love Stage!!,TV,(10 eps),2014,126'281,7.6
#area96,Mobile Fighter G Gundam,TV,(49 eps),1994,44'949,7.6
#area3626,Mobile Suit Gundam Wing: Operation Meteor,Movie,(1 eps),2011,107'884,7.6
#area1029,Omoide Poroporo,Movie,(1 eps),1991,60'505,7.6
#area3848,"One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",Movie,(1 eps),2008,37'776,7.6
#area5419,Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku,Movie,(1 eps),2012,11'024,7.6
#area441,Shoujo Kakumei Utena: Adolescence Mokushiroku,Movie,(1 eps),1999,29'121,7.6
#area2424,"Suteki desu wa, Sakura-chan! Tomoyo no Cardcaptor Sakura Katsuyaku Video Nikki!",TV,(25 eps),2012,1'386'638,7.6
#area36470,Tada-kun wa Koi wo Shinai,TV,(13 eps),2018,106'158,7.6
#area30458,Tokyo Ghoul: &amp;quot;Jack&amp;quot;,TV,(13 eps),2018,49'230,7.6
#area34374,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi,Movie,(1 eps),2017,8'572,7.6
#area13709,Afro Samurai Movie,Movie,(1 eps),2007,32'418,7.59
#area10067,Angel Beats!: Another Epilogue,Movie,(1 eps),2013,33'475,7.59
#area1478,City Hunter: Goodbye My Sweetheart,Movie,(1 eps),2007,25'440,7.59
#area34349,Diamond no Ace: Second Season OVA,Movie,(1 eps),2015,80'288,7.59
#area32071,Gantz:O,Movie,(1 eps),2016,41'062,7.59
#area21273,Gochuumon wa Usagi desu ka?,TV,(12 eps),2014,131'646,7.59
#area23269,Hello!! Kiniro Mosaic,TV,(12 eps),2015,48'896,7.59
#area11617,High School DxD,TV,(12 eps),2012,629'067,7.59
#area8217,Jewelpet Twinkle☆,TV,(52 eps),2010,5'842,7.59
#area22817,Kindaichi Shounen no Jikenbo Returns,TV,(25 eps),2014,11'109,7.59
#area36522,Ling Qi 2,TV,(12 eps),2018,12'921,7.59
#area1563,Magic Knight Rayearth II,TV,(29 eps),1995,22'673,7.59
#area4188,Mahou Sensei Negima! Shiroki Tsubasa Ala Alba,Movie,(1 eps),2017,8'653,7.59
#area32900,Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,Movie,(1 eps),2017,73'800,7.59
#area522,Metropolis,Movie,(1 eps),2001,59'228,7.59
#area16762,Mirai Nikki: Redial,Movie,(1 eps),2011,3'652,7.59
#area15775,Saint☆Oniisan,TV,(20 eps),2001,5'591,7.59
#area10378,Shinryaku!? Ika Musume,TV,(12 eps),2011,60'265,7.59
#area36962,Shokugeki no Souma: San no Sara - Kyokuseiryou no Erina,TV,(20 eps),2000,5'101,7.59
#area6802,So Ra No Wo To,TV,(12 eps),2010,111'701,7.59
#area8197,So Ra No Wo To Specials,TV,(13 eps),2013,227'584,7.59
#area10714,Towa no Quon 3: Mugen no Renza,Movie,(1 eps),2011,24'972,7.59
#area1003,Aa! Megami-sama! (TV) Specials,TV,(3 eps),2005,21'884,7.58
#area16273,Acchi Kocchi (TV): Place=Princess,TV,(1 eps),2012,37'672,7.58
#area4981,Casshern Sins,TV,(24 eps),2008,105'593,7.58
#area33731,Gabriel DropOut,TV,(12 eps),2017,198'896,7.58
#area364,Gallery Fake,TV,(37 eps),2005,8'946,7.58
#area27411,Ghost in the Shell (2015),Movie,(1 eps),2015,31'980,7.58
#area2409,Gokudou-kun Manyuuki,TV,(26 eps),1999,10'137,7.58
#area4039,Golgo 13 (TV),TV,(50 eps),2008,25'664,7.58
#area21075,Hetalia: The Beautiful World Extra Disc,TV,(26 eps),1996,35'726,7.58
#area33034,Kiniro Mosaic: Pretty Days,Movie,(1 eps),2016,12'550,7.58
#area32953,Koi ni Naritai Aquarium,TV,(39 eps),1994,3'150,7.58
#area353,Ojamajo Doremi Dokkaan!,TV,(51 eps),2002,8'631,7.58
