id,naslov,tip,epizode,leto,ogledi,ocena
#area2753,Ushiro no Shoumen Daare,Movie,(1 eps),1991,6'104,7.88
#area33253,Ajin 2nd Season,TV,(13 eps),2016,146'425,7.87
#area10218,Berserk: Ougon Jidai-hen I - Haou no Tamago,Movie,(1 eps),2012,115'983,7.87
#area1473,City Hunter &amp;#039;91,TV,(13 eps),1991,9'091,7.87
#area552,Digimon Adventure,TV,(54 eps),1999,244'298,7.87
#area317,Final Fantasy VII: Advent Children,Movie,(1 eps),2005,164'534,7.87
#area28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV,(12 eps),2015,402'872,7.87
#area33280,Gochuumon wa Usagi desu ka??: Dear My Sister,Movie,(1 eps),2017,15'167,7.87
#area1824,Hadashi no Gen,Movie,(1 eps),1983,24'786,7.87
#area4886,InuYasha: Kuroi Tessaiga,TV,(12 eps),2010,383'227,7.87
#area32380,Kono Subarashii Sekai ni Shukufuku wo! OVA,TV,(12 eps),2013,553'048,7.87
#area93,Mobile Suit Gundam SEED,TV,(50 eps),2002,117'283,7.87
#area31764,Nejimaki Seirei Senki: Tenkyou no Alderamin,TV,(13 eps),2016,169'446,7.87
#area20159,Pokemon: The Origin,TV,(12 eps),2017,262'279,7.87
#area18245,White Album 2,TV,(13 eps),2013,138'492,7.87
#area7044,Zan Sayonara Zetsubou Sensei Bangaichi,TV,(26 eps),2007,423'121,7.86
#area37989,Golden Kamuy 2nd Season,TV,(12 eps),2018,28'472,7.86
#area25303,Haikyuu!!: Lev Genzan!,TV,(39 eps),2009,46'230,7.86
#area7645,Heartcatch Precure!,TV,(49 eps),2010,17'398,7.86
#area3604,Hidamari Sketch x 365,TV,(13 eps),2008,22'710,7.86
#area10357,Jinrui wa Suitai Shimashita,TV,(12 eps),2012,124'893,7.86
#area5680,K-On!,TV,(13 eps),2009,528'714,7.86
#area516,Keroro Gunsou,TV,(358 eps),2004,42'794,7.86
#area6115,Lupin III vs. Detective Conan,Movie,(1 eps),2017,13'531,7.86
#area1910,Master Keaton OVA,TV,(26 eps),2011,1'026'509,7.86
#area80,Mobile Suit Gundam,TV,(43 eps),1979,70'642,7.86
#area32547,Non Non Biyori Repeat: Hotaru ga Tanoshinda,TV,(12 eps),2015,82'150,7.86
#area2582,Soukou Kihei Votoms,TV,(52 eps),1983,13'157,7.86
#area1921,Urusei Yatsura Movie 2: Beautiful Dreamer,Movie,(1 eps),1984,8'500,7.86
#area6024,Chi&amp;#039;s Sweet Home: Atarashii Ouchi,TV,(104 eps),2009,20'155,7.85
#area12117,Detective Conan Movie 16: The Eleventh Striker,Movie,(1 eps),2012,22'190,7.85
#area14735,Detective Conan Movie 17: Private Eye in the Distant Sea,Movie,(1 eps),2013,19'761,7.85
#area34430,Detective Conan Movie 21: The Crimson Love Letter,Movie,(1 eps),2017,10'828,7.85
#area22265,Free!: Eternal Summer,TV,(13 eps),2014,211'989,7.85
#area20431,Hoozuki no Reitetsu,TV,(13 eps),2014,78'275,7.85
#area34542,Inuyashiki,TV,(11 eps),2017,228'548,7.85
#area16904,K: Missing Kings,Movie,(1 eps),2014,146'478,7.85
#area1096,Kidou Keisatsu Patlabor 2 the Movie,Movie,(1 eps),1993,17'120,7.85
#area91,Mobile Suit Gundam Wing: Endless Waltz,Movie,(1 eps),2015,144'493,7.85
#area36286,Re:Zero kara Hajimeru Isekai Seikatsu: Memory Snow,TV,(25 eps),2010,44'350,7.85
#area1562,Yamato Nadeshiko Shichihenge♥,TV,(25 eps),2006,109'630,7.85
#area10090,Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,Movie,(1 eps),2011,10'553,7.84
#area13117,Hakuouki Movie 1: Kyoto Ranbu,Movie,(1 eps),2013,17'499,7.84
#area106,Hana yori Dango,TV,(51 eps),1996,36'480,7.84
#area4192,Hayate no Gotoku!!,TV,(25 eps),2009,81'889,7.84
#area8479,Hetalia World Series,Movie,(1 eps),2005,36'808,7.84
#area12917,Madang-Eul Naon Amtalg,Movie,(1 eps),2011,2'139,7.84
#area875,Mind Game,Movie,(1 eps),2004,44'857,7.84
#area1092,Mobile Suit Gundam III: Encounters in Space,Movie,(1 eps),1982,16'012,7.84
#area795,Oniisama e...,TV,(39 eps),1991,18'001,7.84
#area5530,Pandora Hearts,TV,(25 eps),2009,292'740,7.84
#area210,Ranma ½,TV,(161 eps),1989,142'048,7.84
#area582,Sexy Commando Gaiden: Sugoiyo!! Masaru-san,TV,(48 eps),1998,8'240,7.84
#area33502,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,TV,(12 eps),2017,169'037,7.84
#area534,Slayers,TV,(26 eps),1995,93'491,7.84
#area407,Tantei Gakuen Q,TV,(45 eps),2003,21'492,7.84
#area21867,The Disappearance of Conan Edogawa: The Worst Two Days in History,TV,(51 eps),2005,77'524,7.84
#area30902,Yuru Yuri Nachuyachumi!+,TV,(12 eps),2009,124'418,7.83
#area1961,Arashi no Yoru ni,Movie,(1 eps),2005,14'887,7.83
#area1520,Black Jack,Movie,(1 eps),1982,4'391,7.83
#area985,Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,TV,(51 eps),1977,6'831,7.83
#area570,Jin-Rou,Movie,(1 eps),1999,90'518,7.83
#area251,Kyou kara Maou!,TV,(78 eps),2004,71'726,7.83
#area90,Mobile Suit Gundam Wing,TV,(49 eps),1995,106'544,7.83
#area31704,One Punch Man: Road to Hero,TV,(64 eps),2001,225'540,7.83
#area29829,Tamayura: Sotsugyou Shashin Part 2 - Hibiki,Movie,(1 eps),2015,5'159,7.83
#area28677,Yamada-kun to 7-nin no Majo,TV,(12 eps),2015,345'397,7.83
#area31783,Yowamushi Pedal: New Generation,TV,(25 eps),2017,40'060,7.83
#area21995,Ao Haru Ride,TV,(12 eps),2014,358'354,7.82
#area13535,Binbougami ga!,TV,(13 eps),2012,157'368,7.82
#area31733,Bishoujo Senshi Sailor Moon Crystal Season III,TV,(13 eps),2016,27'602,7.82
#area21405,Bokura wa Minna Kawai-sou,TV,(12 eps),2014,227'029,7.82
#area28755,Boruto: Naruto the Movie,Movie,(1 eps),2015,183'376,7.82
#area35798,Detective Conan Movie 22: Zero The Enforcer,Movie,(1 eps),2018,5'795,7.82
#area33032,Drifters: Special Edition,TV,(13 eps),2015,612'259,7.82
#area30191,Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,TV,(12 eps),2007,64'108,7.82
#area31859,Hai to Gensou no Grimgar,TV,(12 eps),2016,368'949,7.82
#area3603,JoJo no Kimyou na Bouken: Phantom Blood,Movie,(1 eps),2007,17'442,7.82
#area32871,Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,Movie,(1 eps),2016,13'370,7.82
#area1887,Lucky☆Star,TV,(24 eps),2007,397'796,7.82
#area13203,Lupin the Third: Mine Fujiko to Iu Onna,TV,(13 eps),2012,34'607,7.82
#area36038,Net-juu no Susume,TV,(10 eps),2017,213'094,7.82
#area15959,Nurarihyon no Mago OVA,Movie,(1 eps),2018,25'543,7.82
#area6213,Toaru Kagaku no Railgun,TV,(24 eps),2009,310'508,7.82
#area36432,Toaru Majutsu no Index III,TV,(26 eps),2018,71'379,7.82
#area9919,Ao no Exorcist,TV,(25 eps),2011,916'956,7.81
#area9074,Arakawa Under the Bridge x Bridge,TV,(13 eps),2010,106'495,7.81
#area8514,Break Blade 2: Ketsubetsu no Michi,Movie,(1 eps),2010,51'431,7.81
#area31478,Bungou Stray Dogs,TV,(12 eps),2016,380'187,7.81
#area2397,Digimon Adventure: Bokura no War Game!,Movie,(1 eps),2000,48'549,7.81
#area6904,Hellsing I: Digest for Freaks,TV,(13 eps),2018,12'352,7.81
#area13667,Naruto: Shippuuden Movie 6 - Road to Ninja,Movie,(1 eps),2012,135'005,7.81
#area20847,Seitokai Yakuindomo*,TV,(13 eps),2014,145'075,7.81
#area2451,Space Cobra,TV,(31 eps),1982,10'582,7.81
#area31711,To LOVE-Ru Darkness 2nd Specials,TV,(42 eps),1978,21'215,7.81
#area11737,Ao no Exorcist Movie,Movie,(1 eps),2012,153'583,7.8
#area28249,Arslan Senki (TV),TV,(25 eps),2015,225'627,7.8
#area10259,Da Yu Hai Tang,Movie,(1 eps),2016,17'621,7.8
#area2994,Death Note: Rewrite,Movie,(1 eps),2012,90'376,7.8
#area21659,Kill la Kill Specials,TV,(13 eps),2011,113'383,7.8
#area25015,Kyoukai no Kanata Movie 1: I&amp;#039;ll Be Here - Kako-hen,Movie,(1 eps),2015,71'012,7.8
#area4454,Macross F: Close Encounter - Deculture Edition,TV,(20 eps),2014,546'672,7.8
#area1719,Rozen Maiden: Ouvertüre,TV,(13 eps),2000,22'808,7.8
#area5074,Tetsuwan Birdy Decode:02,TV,(12 eps),2009,36'584,7.8
#area37370,The Perfect World,Movie,(1 eps),2015,16'226,7.79
#area19115,Giovanni no Shima,Movie,(1 eps),2014,16'835,7.79
#area644,Hachimitsu to Clover Specials,TV,(11 eps),2011,76'311,7.79
#area1211,Macross Plus Movie Edition,Movie,(1 eps),1995,10'475,7.79
#area1462,Memories,Movie,(3 eps),1995,54'235,7.79
#area16239,One Piece: Episode of Luffy - Hand Island no Bouken,Movie,(1 eps),2007,39'307,7.79
#area398,Seikai no Senki III,TV,(12 eps),2014,160'971,7.79
#area22101,Soredemo Sekai wa Utsukushii,TV,(12 eps),2014,157'755,7.79
#area32673,Udon no Kuni no Kiniro Kemari,TV,(12 eps),2016,67'054,7.79
#area31483,"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",TV,(24 eps),2014,837'065,7.78
#area33071,Bungou Stray Dogs: Hitori Ayumu,TV,(104 eps),2008,44'819,7.78
