id,naslov,tip,epizode,leto,ogledi,ocena
#area11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,(1 eps),2013,305'564,8.57
#area26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,TV,(24 eps),2015,222'176,8.56
#area33255,Saiki Kusuo no Ψ-nan,TV,(120 eps),2016,187'548,8.56
#area35760,Shingeki no Kyojin Season 3,TV,(12 eps),2018,333'848,8.56
#area31043,Boku dake ga Inai Machi,TV,(12 eps),2016,763'592,8.55
#area7472,Gintama Movie 1: Shinyaku Benizakura-hen,Movie,(1 eps),2010,77'356,8.55
#area578,Hotaru no Haka,Movie,(1 eps),1988,265'179,8.55
#area12431,Uchuu Kyoudai,TV,(99 eps),2012,105'403,8.55
#area9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,(11 eps),2011,707'448,8.54
#area801,Ghost in the Shell: Stand Alone Complex 2nd GIG,TV,(26 eps),2004,156'637,8.54
#area170,Slam Dunk,TV,(101 eps),1993,123'626,8.54
#area10408,Hotarubi no Mori e,Movie,(1 eps),2011,338'563,8.53
#area30709,Kamisama Hajimemashita: Kako-hen,OVA,(4 eps),2015,68'630,8.53
#area5028,Major S5,TV,(25 eps),2009,40'782,8.53
#area21,One Piece,TV,(24 eps),2015,669'058,8.53
#area24415,Kuroko no Basket 3rd Season,TV,(25 eps),2015,310'072,8.52
#area10165,Nichijou,TV,(26 eps),2011,409'457,8.52
#area777,Hellsing Ultimate,OVA,(10 eps),2006,455'332,8.51
#area22535,Kiseijuu: Sei no Kakuritsu,TV,(24 eps),2014,732'407,8.51
#area31812,Kuroshitsuji Movie: Book of the Atlantic,Movie,(1 eps),2017,70'395,8.51
#area24687,Mushishi Zoku Shou: Odoro no Michi,Special,(1 eps),2014,53'023,8.51
#area10162,Usagi Drop,TV,(11 eps),2011,285'078,8.51
#area5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),Movie,(1 eps),2009,126'907,8.5
#area32182,Mob Psycho 100,TV,(12 eps),2016,547'472,8.5
#area877,Nana,TV,(47 eps),2006,276'764,8.5
#area205,Samurai Champloo,TV,(26 eps),2004,582'273,8.5
#area5941,Cross Game,TV,(50 eps),2009,74'777,8.49
#area21899,Gintama: Yorinuki Gintama-san on Theater 2D,Movie,(2 eps),2012,20'109,8.49
#area17389,Kingdom 2nd Season,TV,(39 eps),2013,49'195,8.49
#area32,Neon Genesis Evangelion: The End of Evangelion,Movie,(1 eps),1997,320'090,8.49
#area10030,Bakuman. 2nd Season,TV,(25 eps),2011,212'882,8.48
#area32366,Gintama°: Aizome Kaori-hen,OVA,(2 eps),2016,36'793,8.48
#area16498,Shingeki no Kyojin,TV,(25 eps),2013,1'441'169,8.48
#area392,Yuu☆Yuu☆Hakusho,TV,(112 eps),1992,294'697,8.48
#area2251,Baccano!,TV,(13 eps),2007,510'057,8.47
#area28805,Bakemono no Ko,Movie,(1 eps),2015,185'484,8.47
#area22789,Barakamon,TV,(12 eps),2014,352'117,8.47
#area14397,Chihayafuru 2,TV,(25 eps),2013,120'732,8.47
#area136,Hunter x Hunter,TV,(62 eps),1999,246'347,8.47
#area16894,Kuroko no Basket 2nd Season,TV,(25 eps),2013,375'677,8.47
#area36275,Natsume Yuujinchou Roku Specials,Special,(2 eps),2017,15'975,8.47
#area38262,Pingu in the City 2nd Season,TV,(26 eps),2018,2'662,8.47
#area467,Ghost in the Shell: Stand Alone Complex,TV,(26 eps),2002,263'621,8.46
#area35557,Houseki no Kuni,TV,(12 eps),2017,158'555,8.46
#area572,Kaze no Tani no Nausicaä,Movie,(1 eps),1984,198'862,8.46
#area33,Kenpuu Denki Berserk,TV,(25 eps),1997,317'218,8.46
#area11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,(1 eps),2013,201'636,8.46
#area7655,Major S6,TV,(25 eps),2010,35'493,8.46
#area37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,(13 eps),2018,149'702,8.47
#area13125,Shinsekai yori,TV,(25 eps),2012,439'337,8.46
#area35788,Shokugeki no Souma: San no Sara,TV,(12 eps),2017,296'656,8.46
#area9756,Mahou Shoujo Madoka★Magica,TV,(12 eps),2011,674'130,8.45
#area11917,Major: World Series,OVA,(2 eps),2011,20'428,8.45
